nx,ny,total_cells,solver,wall_time,steps,mcups,speedup_vs_cpu
100,33,3300,cpu_numba,0.1035,385,12.28,1.000
200,65,13000,cpu_numba,0.2379,779,42.57,1.000
400,130,52000,cpu_numba,0.7193,1614,116.67,1.000
800,260,208000,cpu_numba,2.8150,3328,245.91,1.000
100,33,3300,gpu_global,0.0251,385,50.68,4.13
200,65,13000,gpu_global,0.0578,780,175.52,4.12
400,130,52000,gpu_global,0.1102,1616,762.43,6.53
800,260,208000,gpu_global,0.2269,3335,3057.54,12.41
1600,520,832000,gpu_global,1.0585,6866,5396.85,N/A
3200,1040,3328000,gpu_global,7.4203,14101,6324.29,N/A
6400,2080,13312000,gpu_global,57.7643,28930,6667.02,N/A
100,33,3300,gpu_shared,0.0229,385,55.55,4.52
200,65,13000,gpu_shared,0.0508,780,199.46,4.68
400,130,52000,gpu_shared,0.1069,1617,786.22,6.73
800,260,208000,gpu_shared,0.2233,3335,3106.31,12.61
1600,520,832000,gpu_shared,1.1298,6861,5052.69,N/A
3200,1040,3328000,gpu_shared,8.0129,14103,5857.39,N/A
6400,2080,13312000,gpu_shared,64.0219,28940,6017.46,N/A
