nx,ny,total_cells,solver,wall_time,steps,mcups,speedup_vs_cpu
100,33,3300,cpu_numba,0.1335,385,9.52,1.000
200,65,13000,cpu_numba,0.4462,779,22.70,1.000
400,130,52000,cpu_numba,1.1588,1614,72.43,1.000
800,260,208000,cpu_numba,17.7418,3328,39.02,1.000
100,33,3300,gpu_global,0.1481,385,8.58,0.90
200,65,13000,gpu_global,0.2406,780,42.15,1.85
400,130,52000,gpu_global,0.6405,1616,131.19,1.81
800,260,208000,gpu_global,1.0220,3335,678.78,17.36
1600,520,832000,gpu_global,5.8725,6866,972.75,N/A
3200,1040,3328000,gpu_global,45.0634,14101,1041.38,N/A
100,33,3300,gpu_shared,0.1074,385,11.83,1.24
200,65,13000,gpu_shared,0.2382,780,42.58,1.87
400,130,52000,gpu_shared,0.4786,1617,175.67,2.42
800,260,208000,gpu_shared,1.0193,3335,680.58,17.41
1600,520,832000,gpu_shared,6.3478,6861,899.26,N/A
3200,1040,3328000,gpu_shared,48.5501,14103,966.73,N/A
